timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2,body_coords
task1_6_2_0-4_trial_1_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_2,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_3,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_4,Show me Torso,5,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_5,Show me left wrist,16,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_6,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_7,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_8,Show me right elbow,10,2,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_9,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_11,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_12,Show me head,12,1,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_13,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_14,Show me left hip,20,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_15,Show me rigth hip,17,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_16,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_17,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_18,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_19,Show me left elbow,15,0,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_20,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_21,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_22,Show me Full Body,1,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_1_23,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_2_1,Show me Left Arm,6,0,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_2,Show me left knee,21,0,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_3,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_4,Show me right elbow,10,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_5,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_6,Show me Upper Body,2,2,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_7,Show me left ankle,22,0,1,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_8,Show me Upper Body,2,0,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_9,Show me right elbow,10,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_10,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_11,Show me right ankle,19,2,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_12,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_13,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_14,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_15,Show me right elbow,10,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_2_16,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
task1_6_2_0-4_trial_3_1,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_2,Show me right wrist,11,1,0,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_3,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
task1_6_2_0-4_trial_3_4,Show me left wrist,16,1,2,Task1_6.png,Is the person in the image running or walking?,Running,Walking,task1_img6_all_layer_coords.csv
