timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2, structure, discourse
task1_5_2_0-8_trial_1_1,Show me right knee,18,1,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, NA
task1_5_2_0-8_trial_1_2,Show me Left Arm,6,2,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_3,Show me left shoulder,14,1,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, topdown, sequence
task1_5_2_0-8_trial_1_4,Show me Right Arm,4,0,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_5,Show me right wrist,11,0,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, topdown, sequence
task1_5_2_0-8_trial_1_6,Show me Torso,5,2,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_7,Show me Left Arm,6,1,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_8,Show me Upper Body,2,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, bottomUp, sequence
task1_5_2_0-8_trial_1_9,Show me left wrist,16,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_10,Show me left hip,20,2,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_11,Show me Full Body,1,0,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_12,Show me neck,13,1,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_13,Show me left wrist,16,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_14,Show me right wrist,11,2,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_15,Show me left wrist,16,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_16,Show me right wrist,11,0,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_17,Show me left hip,20,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_18,Show me left elbow,15,2,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_19,Show me Right Leg,7,0,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_20,Show me left wrist,16,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_21,Show me right elbow,10,0,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_22,Show me Right Leg,7,0,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_23,Show me Upper Body,2,2,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_24,Show me left shoulder,14,0,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_25,Show me Upper Body,2,1,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_26,Show me left shoulder,14,2,0,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_27,Show me left wrist,16,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_28,Show me Left Leg,8,0,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_29,Show me Full Body,1,2,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_30,Show me Right Arm,4,0,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_1_31,Show me left knee,21,2,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
-1,-1,-1,-1,-1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, NA
task1_5_2_0-8_trial_2_1,Show me Left Arm,6,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_2_2,Show me left hip,20,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_2_3,Show me left elbow,15,2,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_2_4,Show me left wrist,16,1,2,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
task1_5_2_0-8_trial_2_5,Show me left hip,20,2,1,Task1_5.png,Is the person in the image running or walking?,Running,Walking, NA, sequence
