timestep,question ,action_node_id, bubble_size, bubble_scale, image_name, question, option1, option2
task1_4_2_0-8_trial_1_1,Show me right shoulder,9,2,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_2,Show me Full Body,1,1,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_3,Show me rigth hip,17,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_4,Show me right ankle,19,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_5,Show me right wrist,11,2,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_6,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_7,Show me right knee,18,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_8,Show me Full Body,1,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_9,Show me left elbow,15,0,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_10,Show me head,12,0,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_11,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_12,Show me Lower Body,3,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_1_13,Show me left wrist,16,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
-1,-1,-1,-1,-1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_1,Show me Torso,5,2,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_2,Show me right elbow,10,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_3,Show me Right Arm,4,2,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_4,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_5,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_6,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_7,Show me right shoulder,9,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_8,Show me left shoulder,14,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_2_9,Show me rigth hip,17,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
-1,-1,-1,-1,-1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_1,Show me Right Leg,7,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_2,Show me neck,13,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_3,Show me Full Body,1,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_4,Show me Upper Body,2,2,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_5,Show me right knee,18,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_6,Show me right elbow,10,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_7,Show me Right Leg,7,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_8,Show me right knee,18,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_9,Show me left shoulder,14,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_10,Show me right knee,18,0,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_11,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_12,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_13,Show me left knee,21,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_14,Show me Left Leg,8,2,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_15,Show me Full Body,1,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_16,Show me left elbow,15,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_17,Show me left elbow,15,2,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_18,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_19,Show me Right Leg,7,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_20,Show me Upper Body,2,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_21,Show me neck,13,1,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_22,Show me left ankle,22,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_23,Show me left wrist,16,0,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_24,Show me Right Leg,7,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_25,Show me right elbow,10,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_26,Show me Torso,5,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_27,Show me left knee,21,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_28,Show me right shoulder,9,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_29,Show me right elbow,10,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_30,Show me left ankle,22,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_31,Show me neck,13,1,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_32,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_3_33,Show me left hip,20,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
-1,-1,-1,-1,-1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_1,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_2,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_3,Show me left knee,21,2,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_4,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_5,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_6,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_7,Show me Left Arm,6,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_8,Show me left knee,21,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_9,Show me right wrist,11,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_10,Show me Lower Body,3,0,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_11,Show me left elbow,15,0,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_12,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_13,Show me left ankle,22,0,1,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_14,Show me left wrist,16,1,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_15,Show me left shoulder,14,1,0,Task1_4.png,Is the person in the image running or walking?,Running,Walking
task1_4_2_0-8_trial_4_16,Show me left knee,21,2,2,Task1_4.png,Is the person in the image running or walking?,Running,Walking
